titre,artiste,popularite,date_sortie,genre,sous_genre,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duree_ms
Dead But Rising,Volbeat,49,2013-01-01,rock,hard rock,0.397,0.978,-5.565,0.0514,4.73e-06,0.591,0.321,0.435,107.703,214560
We Don't Belong,Black Veil Brides,37,2013-01-01,rock,hard rock,0.511,0.932,-4.536,0.0775,0.000233,0.0782,0.635,0.267,129.998,216400
Rise Up,Saliva,0,2014-02-18,rock,hard rock,0.497,0.887,-4.205,0.0522,0.000132,6.84e-06,0.0819,0.499,172.124,188225
Gunfight,Sick Puppies,22,2013-01-01,rock,hard rock,0.488,0.815,-4.682,0.0432,7.99e-05,0.00139,0.0684,0.511,86.499,175693
Torn to Pieces,Pop Evil,59,2013-05-14,rock,hard rock,0.612,0.654,-5.455,0.0287,0.0136,1.16e-05,0.121,0.322,122.101,196253
Call Me,In This Moment,0,2009-07-03,rock,hard rock,0.426,0.975,-1.892,0.095,0.0017,0.0,0.0891,0.273,142.998,197627
Die Trying,Art Of Dying,49,2011-03-18,rock,hard rock,0.313,0.901,-3.266,0.106,0.000198,0.0,0.576,0.427,110.819,229560
What You Want,Evanescence,0,2011,rock,hard rock,0.572,0.921,-2.623,0.0747,0.00615,0.0,0.228,0.494,121.982,221360
Feed The Machine,Red,43,2011-02-01,rock,hard rock,0.116,0.948,-4.6,0.359,0.00055,0.154,0.469,0.0396,172.052,310920
The Bleeding,Five Finger Death Punch,0,2007-07-31,rock,hard rock,0.322,0.812,-5.568,0.0505,0.00149,0.0,0.0986,0.124,159.933,268667
Take the Bullets Away (feat. Lacey Sturm),We As Human,47,2011-06-21,rock,hard rock,0.484,0.932,-4.454,0.0619,0.00249,3.62e-06,0.211,0.346,140.996,211187
I Miss the Misery,Halestorm,59,2012-04-03,rock,hard rock,0.469,0.969,-2.219,0.0589,0.009,1.11e-05,0.346,0.476,164.042,183507
Nothing Left to Lose,Heaven's Basement,41,2013-02-05,rock,hard rock,0.319,0.958,-3.201,0.119,0.0365,0.0,0.066,0.182,104.829,224160
The Fire,Rev Theory,33,2011,rock,hard rock,0.42,0.89,-4.603,0.0434,0.000578,5.87e-05,0.254,0.362,140.011,249333
Freak Like Me,Halestorm,44,2012-04-03,rock,hard rock,0.524,0.958,-3.477,0.0566,0.000902,0.000227,0.152,0.427,130.0,218267
Try to Fight It,Shallow Side,0,2012-04-06,rock,hard rock,0.431,0.864,-4.384,0.0348,0.00194,0.0,0.0259,0.505,178.851,195238
Narcissistic Cannibal (feat. Skrillex & Kill the Noise),Korn,60,2011-11-30,rock,hard rock,0.519,0.892,-5.285,0.113,0.000456,0.000525,0.572,0.559,174.027,190707
If Anything At All,Cathercist,0,2011-09-01,rock,hard rock,0.405,0.937,-2.176,0.0771,0.012,0.000249,0.195,0.344,154.972,227000
Electric Halo,Kyng,0,2014-02-11,rock,hard rock,0.539,0.858,-4.05,0.0365,0.000433,1.8e-06,0.102,0.398,107.993,219467
Make Me Wanna Die,The Pretty Reckless,52,2010-01-01,rock,hard rock,0.495,0.905,-3.768,0.0653,0.00227,3.29e-06,0.142,0.215,97.106,235653
Painkiller,Three Days Grace,0,2014-04-01,rock,hard rock,0.475,0.941,-3.969,0.0493,0.000173,0.0,0.0444,0.509,88.95,178853
Guilty All the Same (feat. Rakim),Linkin Park,34,2014-03-07,rock,hard rock,0.566,0.969,-3.369,0.046,0.0287,0.000442,0.281,0.641,100.012,355120
Criminal,Framing Hanley,18,2014-03-18,rock,hard rock,0.503,0.847,-3.841,0.05,0.00126,0.00438,0.119,0.306,163.973,219280
More Than This Ft Dan Chandler of Evans Blue,HeavensDust,30,2014-03-10,rock,hard rock,0.396,0.857,-4.142,0.0342,0.114,0.0,0.105,0.209,174.028,225030
Cry,The Used,0,2014-04-01,rock,hard rock,0.595,0.919,-5.12,0.0799,0.00417,0.000702,0.211,0.531,129.954,210133
Break Down The Walls,Asking Alexandria,44,2013-08-06,rock,hard rock,0.469,0.916,-4.163,0.0547,5.43e-05,0.0,0.433,0.287,144.004,211439
Room To Breathe,You Me At Six,0,2014-01-01,rock,hard rock,0.431,0.935,-3.416,0.0522,8.07e-05,0.000102,0.179,0.279,143.025,239027
Shoot to Thrill,Halestorm,46,2013-10-15,rock,hard rock,0.654,0.919,-4.437,0.0563,0.00183,0.0567,0.203,0.524,140.007,307160
The Last One Alive,Demon Hunter,14,2014-04-08,rock,hard rock,0.45,0.906,-3.929,0.0439,3.67e-05,0.283,0.35,0.305,105.028,265000
Fix Me,10 Years,58,2010-01-01,rock,hard rock,0.448,0.84,-3.938,0.0361,0.0012,0.0,0.0883,0.235,157.985,215840
This Is the Time (Ballast),Nothing More,0,2014-03-11,rock,hard rock,0.521,0.982,-4.639,0.0669,8.52e-06,0.0168,0.0949,0.425,110.03,220413
Last Man Standing,Pop Evil,40,2011-07-05,rock,hard rock,0.611,0.972,-3.438,0.11,0.000105,0.000838,0.0297,0.493,120.085,203640
Shatter Me Featuring Lzzy Hale,Lindsey Stirling,58,2014-04-29,rock,hard rock,0.483,0.947,-3.018,0.0594,0.000742,0.0,0.14,0.347,144.948,280800
Pittsburgh - No Intro,The Amity Affliction,33,2014-04-15,rock,hard rock,0.386,0.943,-3.033,0.185,0.000133,0.0,0.0928,0.402,148.008,239127
Dangerous (Feat. Howard Jones),Within Temptation,0,2014-02-04,rock,hard rock,0.499,0.925,-4.773,0.0613,0.000264,0.000118,0.0978,0.194,127.994,293236
Drown,Theory of a Deadman,26,2014-04-22,rock,hard rock,0.476,0.936,-4.906,0.0645,2.57e-05,0.000729,0.255,0.385,141.959,221747
World On Fire,Slash,20,2014-06-13,rock,hard rock,0.442,0.976,-3.064,0.0837,3.65e-05,0.0,0.378,0.516,174.047,271031
Hey Kid,Bad Seed Rising,23,2014-04-15,rock,hard rock,0.506,0.966,-4.162,0.0609,0.000692,0.00015,0.369,0.397,117.006,210827
Say It,Evans Blue,0,2010-07-27,rock,hard rock,0.502,0.928,-3.158,0.0457,0.0437,0.0,0.204,0.465,91.01,193720
Skeletons,Heartist,21,2014-04-29,rock,hard rock,0.28,0.868,-5.065,0.0399,6.87e-06,0.00372,0.164,0.174,174.821,213787
For Life (feat. Clint Lowery),3 Years Hollow,33,2014-02-10,rock,hard rock,0.263,0.933,-4.468,0.143,1.44e-05,0.37,0.0982,0.429,133.991,204907
All Rise,Wovenwar,18,2014-05-19,rock,hard rock,0.365,0.987,-1.241,0.119,5.29e-05,2.46e-05,0.215,0.128,159.964,216933
Set Me on Fire,Flyleaf,0,2014-07-15,rock,hard rock,0.335,0.912,-3.285,0.172,0.0777,0.0,0.128,0.498,190.018,219680
Don't Stop Believing,Soul&Roll,33,2014-06-20,rock,hard rock,0.736,0.576,-6.352,0.0301,0.229,5.73e-05,0.117,0.266,126.979,280634
I Aint Missing You,Steve Pais,35,2013-07-20,rock,hard rock,0.766,0.656,-8.469,0.0264,0.363,0.0,0.0953,0.721,103.977,238760
Don't You Cry Tonight - Acoustic,Jim Seas,33,2015-02-20,rock,hard rock,0.646,0.548,-8.879,0.0298,0.421,0.0,0.096,0.194,130.11,270000
Love Song,The Cure,3,2001-11-13,rock,hard rock,0.595,0.865,-4.355,0.0304,0.347,0.296,0.155,0.759,139.932,208000
Nothing's Gonna Stop Us Now,Tamara Perez,34,2016-06-20,rock,hard rock,0.545,0.368,-8.78,0.0302,0.787,0.0,0.212,0.536,179.953,261333
Never Tear Us Apart,INXS,59,2011-01-01,rock,hard rock,0.664,0.613,-7.56,0.0273,0.00309,0.000128,0.175,0.193,96.6,184587
Free Falling,Monica Lopez,30,2014-06-20,rock,hard rock,0.497,0.425,-7.615,0.0342,0.0615,1.27e-05,0.0951,0.489,167.959,279547
Time After Time,Carla Tous,35,2013-07-20,rock,hard rock,0.829,0.467,-7.949,0.0358,0.727,0.0,0.17,0.507,129.967,213800
Carrie,Europe,70,1986,rock,hard rock,0.457,0.487,-7.112,0.0266,0.113,2.37e-06,0.358,0.139,136.596,272133
Every Rose Has Its Thorn - Acoustic,Jim Seas,31,2015-02-20,rock,hard rock,0.635,0.539,-9.129,0.0273,0.43,0.0,0.0808,0.223,139.969,255250
To Be With You,Mr. Big,6,2004-05-25,rock,hard rock,0.695,0.391,-8.66,0.0434,0.352,0.0,0.248,0.47,83.644,206973
Beth I Hear You Calling,Smoke Trio,29,2016-03-20,rock,hard rock,0.62,0.161,-12.448,0.0277,0.695,2.46e-05,0.14,0.299,99.936,193200
Think Twice,Lisa Gey,33,2013-07-20,rock,hard rock,0.557,0.554,-7.428,0.0358,0.469,0.0,0.534,0.395,133.904,245813
Here I Go Again on My Own,Ken Clayton,29,2014-10-20,rock,hard rock,0.486,0.698,-6.963,0.029,0.227,0.0,0.138,0.395,86.989,252420
Without You,Mötley Crüe,14,1999-01-01,rock,hard rock,0.496,0.783,-4.762,0.0314,0.00523,9.2e-05,0.112,0.293,118.002,268827
When Doves Cry,Prince,70,1984-06-25,rock,hard rock,0.729,0.989,-4.613,0.049,0.0102,4.45e-05,0.443,0.84,126.47,352906
Heaven Isn't Too Far Away,Luck Wallace,29,2014-10-20,rock,hard rock,0.472,0.498,-9.661,0.0249,0.398,0.0,0.0792,0.428,144.065,240279
The Power of Love,Jennifer Rush,58,1995-07-24,rock,hard rock,0.521,0.654,-6.993,0.0401,0.452,6.12e-05,0.0984,0.125,139.071,268200
Forever,KISS,2,1989-10-17,rock,hard rock,0.43,0.663,-10.579,0.0319,0.216,1.85e-05,0.0521,0.537,176.378,233427
"It Must Have Been Love - From the Film ""Pretty Woman""",Roxette,68,1995-10-23,rock,hard rock,0.52,0.652,-6.655,0.0274,0.34,5.49e-05,0.256,0.722,80.609,258787
"Take My Breath Away - Love Theme from ""Top Gun""",Berlin,70,1999-01-01,rock,hard rock,0.497,0.719,-9.397,0.0266,0.0613,0.0,0.411,0.547,95.769,255733
I'll Stand by You,Pretenders,69,1994-06-01,rock,hard rock,0.438,0.606,-6.549,0.0305,0.3,4.49e-06,0.0754,0.266,133.822,240760
The Flame,Cheap Trick,62,1988-04-12,rock,hard rock,0.629,0.581,-11.856,0.027,0.513,2.06e-06,0.0755,0.359,97.074,338800
(Everything I Do) I Do It For You,Bryan Adams,74,1991-09-24,rock,hard rock,0.533,0.36,-12.633,0.0282,0.0805,1.03e-05,0.0631,0.299,131.229,393640
Shine,Collective Soul,14,1994-03-29,rock,hard rock,0.54,0.423,-8.799,0.0283,0.294,0.0884,0.152,0.353,150.135,306040
"I'd Do Anything For Love (But I Won't Do That) - Live From The Beacon Theatre, New York, U.S.A./1995",Meat Loaf,66,1995,rock,hard rock,0.265,0.553,-10.198,0.0702,0.727,0.0,0.983,0.237,76.114,329400
"Up Where We Belong - From ""An Officer And A Gentleman""",Joe Cocker,66,2000-06-06,rock,hard rock,0.632,0.305,-11.842,0.0326,0.614,2.01e-05,0.0713,0.238,139.935,232573
You're All I Need,White Lion,58,1991-03-26,rock,hard rock,0.506,0.514,-10.689,0.0284,0.0828,0.0,0.174,0.24,117.53,269000
Man On The Silver Mountain,Rainbow,3,1975-01-01,rock,hard rock,0.594,0.77,-8.267,0.032,0.276,0.0176,0.0575,0.827,107.484,277227
Chinatown,Thin Lizzy,0,1980,rock,hard rock,0.284,0.882,-9.348,0.102,0.00736,0.744,0.776,0.566,115.623,280987
Don't Believe A Word,Thin Lizzy,0,1976,rock,hard rock,0.465,0.66,-10.019,0.04,0.0496,0.000405,0.155,0.899,139.969,137867
Whiskey In The Jar,Thin Lizzy,7,2007-01-01,rock,hard rock,0.578,0.814,-7.856,0.0458,0.388,6.88e-06,0.252,0.771,127.728,343093
The Rocker,Thin Lizzy,0,1973,rock,hard rock,0.259,0.913,-8.477,0.134,0.0666,8.16e-05,0.803,0.513,144.815,306225
Doctor Doctor,UFO,0,2014-02-21,rock,hard rock,0.298,0.799,-6.962,0.0464,0.000168,9.42e-05,0.496,0.561,143.072,252453
Shoot Shoot - 2007 Remastered Version,UFO,0,2014-02-21,rock,hard rock,0.475,0.912,-7.023,0.058,3.78e-05,2.25e-05,0.0806,0.592,137.805,219893
Lights Out - 2008 Remastered Version,UFO,0,2014-02-21,rock,hard rock,0.303,0.919,-6.071,0.119,3.29e-06,0.731,0.332,0.538,153.821,275227
From the Inside,Alice Cooper,26,1978,rock,hard rock,0.641,0.696,-12.697,0.03,0.000825,0.000336,0.116,0.671,117.058,235240
Go to Hell,Alice Cooper,38,1976-01-01,rock,hard rock,0.374,0.663,-13.454,0.117,0.00559,0.00976,0.357,0.519,166.112,315707
Department of Youth,Alice Cooper,32,1975,rock,hard rock,0.533,0.906,-7.547,0.0381,0.2,0.0015,0.493,0.638,121.669,196800
Billion Dollar Babies,Alice Cooper,22,1974,rock,hard rock,0.468,0.663,-11.714,0.0634,0.00739,0.0352,0.124,0.714,90.714,223600
No More Mr. Nice Guy,Alice Cooper,37,1974,rock,hard rock,0.498,0.515,-11.985,0.0395,0.0936,0.0,0.1,0.616,127.761,187893
Easy Livin',Uriah Heep,1,1996,rock,hard rock,0.247,0.8,-10.173,0.0986,4.83e-05,0.0535,0.074,0.516,160.326,154973
The Wizard,Uriah Heep,0,2010,rock,hard rock,0.438,0.518,-12.516,0.0373,0.000161,0.00372,0.108,0.636,138.108,178093
2112 Overture / The Temples Of Syrinx - Chronicles Version,Rush,0,2003,rock,hard rock,0.369,0.883,-6.913,0.119,0.0488,0.0157,0.175,0.308,133.46,404213
Astronomy,Blue Öyster Cult,18,2000-02-08,rock,hard rock,0.279,0.559,-8.803,0.0289,0.36,0.037,0.167,0.277,86.884,384253
True Confessions,Blue Öyster Cult,0,1976,rock,hard rock,0.608,0.87,-7.813,0.0386,0.0377,2.49e-05,0.0806,0.831,120.845,176760
Dominance and Submission,Blue Öyster Cult,0,1972,rock,hard rock,0.394,0.533,-12.6,0.0687,0.0893,0.0367,0.234,0.563,158.468,322000
Fireball,Deep Purple,0,2011-09-12,rock,hard rock,0.561,0.953,-8.927,0.0674,0.00166,3.64e-06,0.239,0.805,121.741,202040
Stormbringer - 2009 remix,Deep Purple,22,1980,rock,hard rock,0.32,0.908,-7.645,0.0859,0.0161,4.16e-06,0.106,0.624,177.773,246720
Burn - 2004 Remix,Deep Purple,18,1980,rock,hard rock,0.194,0.932,-6.72,0.0506,0.0142,0.0281,0.403,0.579,195.651,362840
It's Only Love,ZZ Top,10,2013-06-07,rock,hard rock,0.7,0.592,-10.434,0.0681,0.108,0.0184,0.118,0.906,109.847,263627
Stargazer,Rainbow,2,1976-01-01,rock,hard rock,0.166,0.948,-8.503,0.0631,0.00374,0.0131,0.769,0.476,177.495,506160
Long Live Rock N Roll,Rainbow,54,1978,rock,hard rock,0.345,0.924,-7.767,0.0553,0.00376,0.0,0.122,0.434,142.378,261733
Fox On The Run,Sweet,0,2014-01-13,rock,hard rock,0.413,0.822,-3.328,0.077,0.309,0.0,0.0834,0.367,127.852,212040
Love Is Like Oxygen,Sweet,0,2014-01-13,rock,hard rock,0.544,0.817,-5.424,0.0873,0.484,0.0,0.204,0.412,124.976,256920
Rockin' All Over The World,Status Quo,17,2009,rock,hard rock,0.545,0.963,-5.173,0.102,0.101,0.491,0.41,0.87,131.564,216600
Whatever You Want,Status Quo,19,2009,rock,hard rock,0.556,0.704,-6.992,0.0491,0.722,0.0066,0.154,0.522,122.385,242027
Rain,Status Quo,15,2009,rock,hard rock,0.487,0.806,-6.94,0.0354,1.64e-05,0.0112,0.183,0.287,128.639,273000
Pinball Wizard - Original Album Version,The Who,2,2009-12-21,rock,hard rock,0.536,0.694,-9.116,0.0351,0.014,0.0,0.165,0.374,124.394,182653
Immigrant Song - 1990 Remaster,Led Zeppelin,58,1970-10-05,rock,hard rock,0.574,0.926,-10.79,0.0562,0.00031,0.478,0.386,0.609,113.097,145067
Trampled Under Foot - 2007 Remastered Version,Led Zeppelin,0,2007,rock,hard rock,0.547,0.855,-8.027,0.0549,0.156,0.222,0.0822,0.807,111.25,335360
Fool in the Rain,Led Zeppelin,62,1979-08-15,rock,hard rock,0.539,0.866,-8.404,0.0483,0.0866,0.00414,0.0953,0.761,130.345,372893
The Rover - 1993 Remaster,Led Zeppelin,55,1975-02-24,rock,hard rock,0.367,0.752,-8.134,0.0317,0.0133,0.00979,0.0658,0.401,205.47,336907
Tomorrow's Dream,Black Sabbath,0,1972-09-25,rock,hard rock,0.479,0.571,-12.65,0.0388,0.0472,0.031,0.14,0.35,110.75,188775
After Forever,Black Sabbath,0,1971-07-21,rock,hard rock,0.399,0.683,-13.233,0.0357,0.000384,0.00119,0.124,0.466,95.254,326001
Looking for Today,Black Sabbath,0,1973-12-01,rock,hard rock,0.507,0.56,-12.446,0.0365,0.149,2.35e-06,0.283,0.697,130.061,300702
It's Alright,Black Sabbath,0,1976-09-25,rock,hard rock,0.393,0.553,-11.574,0.0287,0.223,0.000279,0.106,0.479,80.435,239293
Diamonds and Rust,Judas Priest,0,2009-09-25,rock,hard rock,0.469,0.875,-5.072,0.0951,0.0691,0.0,0.102,0.377,134.357,203533
Beyond the Realms of Death,Judas Priest,53,1978-10-27,rock,hard rock,0.28,0.714,-5.653,0.0314,0.039,3.26e-05,0.164,0.539,174.088,409800
Starbreaker,Judas Priest,32,1977-11-15,rock,hard rock,0.386,0.847,-4.487,0.0965,0.00482,1.15e-06,0.0509,0.765,142.73,287973
Almost Human,KISS,0,2008-10-21,rock,hard rock,0.275,0.963,-5.98,0.0931,0.00763,0.00151,0.301,0.611,184.451,169027
Parasite,KISS,0,2008-10-21,rock,hard rock,0.367,0.813,-5.995,0.0585,0.00273,0.798,0.201,0.537,123.342,183387
Love Gun,KISS,0,2008-10-21,rock,hard rock,0.387,0.912,-5.147,0.0407,0.0146,0.107,0.354,0.653,147.193,196413
I Stole Your Love,KISS,0,2008-10-21,rock,hard rock,0.48,0.974,-5.531,0.0947,0.00754,0.00564,0.895,0.522,96.382,184413
Motor City Madhouse,Ted Nugent,10,2010-10-26,rock,hard rock,0.527,0.917,-7.368,0.0923,0.0146,0.0988,0.135,0.419,119.466,273160
Can't Get Enough (Remastered Album Version),Bad Company,1,1974,rock,hard rock,0.662,0.763,-7.475,0.0397,0.132,0.0013,0.067,0.699,126.333,254400
Rock the Nation - Remastered,Montrose,20,2000,rock,hard rock,0.445,0.96,-5.6,0.049,0.0483,0.00113,0.191,0.618,137.905,183107
Bad Motor Scooter - Remastered LP Verison,Montrose,14,2000,rock,hard rock,0.321,0.944,-5.575,0.0666,0.0275,0.000722,0.341,0.398,172.972,223360
Space Station #5 - Remastered,Montrose,13,2000,rock,hard rock,0.284,0.954,-6.406,0.14,0.0113,0.0019,0.723,0.492,168.617,316707
Rock Candy - Remastered LP Verison,Montrose,14,2000,rock,hard rock,0.274,0.744,-5.977,0.0358,0.00174,0.00231,0.0864,0.761,158.628,305827
Heartbreaker,Free,23,2012-01-01,rock,hard rock,0.427,0.79,-7.386,0.0414,0.00141,0.707,0.126,0.469,126.887,371307
Same Old Song and Dance,Aerosmith,38,1980-11-11,rock,hard rock,0.51,0.74,-8.427,0.0385,0.199,0.0,0.391,0.608,132.689,182560
Sweet Emotion - Single Version,Aerosmith,39,1980-11-11,rock,hard rock,0.473,0.787,-9.898,0.0317,0.0131,0.000876,0.0913,0.603,99.893,192733
Last Child,Aerosmith,48,1980-11-11,rock,hard rock,0.599,0.613,-9.978,0.0344,0.163,1.66e-06,0.047,0.767,84.22,206707
Dream Police,Cheap Trick,24,2004-03-02,rock,hard rock,0.471,0.862,-7.362,0.0407,0.00686,3.87e-05,0.109,0.621,137.532,231267
Voices,Cheap Trick,31,2004-03-02,rock,hard rock,0.456,0.691,-7.773,0.0265,0.252,0.0,0.366,0.531,94.854,262760
Majestic,Journey,25,1979,rock,hard rock,0.259,0.558,-9.042,0.0339,0.186,0.923,0.117,0.0826,71.598,75533
Feels like the First Time,Foreigner,41,1977-03-08,rock,hard rock,0.541,0.812,-6.716,0.0813,0.0599,0.0,0.456,0.471,109.591,192520
Time Machine,Grand Funk Railroad,32,2006-01-01,rock,hard rock,0.637,0.643,-6.73,0.0298,0.0395,0.00273,0.0777,0.838,109.981,225373
No Sugar Tonight,The Guess Who,44,1971,rock,hard rock,0.544,0.635,-15.718,0.0566,0.205,0.000166,0.113,0.522,100.725,290800
I Wanna Rock (Remastered Album Version),Twisted Sister,7,2009-06-29,rock,hard rock,0.588,0.731,-8.299,0.0398,0.016,0.184,0.333,0.606,106.177,183373
Jump - Remastered Version,Van Halen,0,2004-07-13,rock,hard rock,0.546,0.843,-5.821,0.0326,0.12,4.98e-05,0.0618,0.783,129.894,244107
Here I Go Again 87 - 2008 Remaster,Whitesnake,43,1987,rock,hard rock,0.361,0.88,-4.959,0.0466,0.19,3.48e-05,0.294,0.224,91.06,273147
Dude (Looks Like a Lady),Aerosmith,1,2011-09-13,rock,hard rock,0.57,0.963,-3.528,0.0417,0.0531,7.03e-06,0.0265,0.933,126.222,261827
Heaven And Hell,Black Sabbath,1,1980-04-25,rock,hard rock,0.333,0.445,-16.343,0.0283,0.00858,0.0451,0.167,0.35,89.371,417840
He's Back (The Man Behind The Mask),Alice Cooper,48,1986-01-01,rock,hard rock,0.784,0.556,-11.062,0.0319,0.136,0.0,0.214,0.945,119.883,224880
School's Out,Alice Cooper,65,1972,rock,hard rock,0.294,0.745,-9.138,0.0461,0.05,0.125,0.676,0.347,134.364,210107
Seek & Destroy,Metallica,6,1983-07-25,rock,hard rock,0.461,0.95,-6.189,0.179,0.0638,0.0149,0.211,0.535,140.77,415400
Symphony Of Destruction,Megadeth,70,1992-07-14,rock,hard rock,0.61,0.891,-5.452,0.0587,0.000805,0.0928,0.0657,0.51,139.903,246733
Crazy Crazy Nights,KISS,2,2007-06-08,rock,hard rock,0.583,0.884,-5.18,0.0631,0.493,0.0,0.436,0.794,121.903,225160
Love In An Elevator - Single Version,Aerosmith,0,2011-01-01,rock,hard rock,0.451,0.965,-4.757,0.0827,0.0393,0.0014,0.349,0.557,93.52,321960
"Motley Crue/Girls, Girls, Girls",Various Artists,1,1987,rock,hard rock,0.601,0.927,-4.892,0.0704,0.0346,5.52e-05,0.376,0.542,140.1,270533
Run to the Hills - 1998 Remaster,Iron Maiden,48,2008-04-07,rock,hard rock,0.225,0.951,-4.654,0.0924,0.00837,0.000225,0.219,0.471,173.241,233947
The Trooper - 1998 Remaster,Iron Maiden,45,2008-04-07,rock,hard rock,0.288,0.864,-6.762,0.0673,0.0172,0.0567,0.541,0.621,162.233,250947
One,Metallica,14,1988-08-25,rock,hard rock,0.444,0.703,-9.443,0.0641,0.00112,0.0761,0.127,0.419,106.228,447440
Out In The Fields - Remastered 2002,Gary Moore,36,2006,rock,hard rock,0.425,0.973,-4.229,0.119,0.00236,0.136,0.265,0.433,179.958,258280
Highway Star - Remastered 2012,Deep Purple,68,1972-03-25,rock,hard rock,0.307,0.909,-7.08,0.0574,0.135,0.0336,0.125,0.443,173.674,366136
Bedside Radio - Remastered,Krokus,22,2000-02-21,rock,hard rock,0.54,0.737,-8.747,0.0459,0.00295,0.00026,0.0785,0.886,125.347,199467
Rock the Nation,Montrose,40,1973,rock,hard rock,0.456,0.912,-9.728,0.0398,0.0473,0.000141,0.171,0.602,137.581,180667
Armed and Ready - 2009 Remastered Version,Michael Schenker Group,0,2009-01-16,rock,hard rock,0.329,0.941,-7.687,0.084,0.00376,0.00525,0.0791,0.77,171.632,251320
Detroit Rock City - Edit,KISS,0,2002-01-01,rock,hard rock,0.52,0.894,-7.071,0.0707,0.0398,6.56e-05,0.289,0.441,90.446,216493
Turbo Lover,Judas Priest,0,2011-10-07,rock,hard rock,0.466,0.907,-6.359,0.0675,0.0457,9.89e-05,0.393,0.605,151.994,329253
Still Of The Night,Whitesnake,38,1994-07-04,rock,hard rock,0.422,0.866,-6.62,0.0478,0.00238,0.0023,0.297,0.281,100.449,394360
Why Can't This Be Love - 2004 Remaster,Van Halen,40,2004,rock,hard rock,0.54,0.82,-5.255,0.0977,0.0512,0.0,0.0835,0.55,88.469,228333
When the Children Cry - 2006 Remaster,White Lion,35,2007-04-02,rock,hard rock,0.509,0.285,-11.977,0.0285,0.525,0.0,0.105,0.36,130.204,263867
Shout It Out Loud,KISS,0,1976-03-15,rock,hard rock,0.571,0.953,-5.002,0.0568,0.124,5.57e-06,0.35,0.682,135.599,169027
Crawling In The Dark,Hoobastank,4,2001-01-01,rock,hard rock,0.592,0.932,-4.491,0.0885,0.000295,7.59e-05,0.138,0.698,93.675,175027
Judith,A Perfect Circle,65,2000-01-01,rock,hard rock,0.365,0.894,-4.682,0.0572,3.32e-05,0.171,0.267,0.31,82.305,247267
Not Falling,Mudvayne,50,2002-11-12,rock,hard rock,0.438,0.984,-5.012,0.142,2.93e-05,0.0745,0.0573,0.321,129.924,243933
Still Frame,Trapt,50,2002-11-05,rock,hard rock,0.445,0.932,-4.739,0.316,0.000866,0.0,0.108,0.51,113.945,271093
Poem,Taproot,57,2002-09-30,rock,hard rock,0.364,0.912,-2.968,0.107,0.000104,0.0025,0.086,0.666,105.368,189200
Bleed American,Jimmy Eat World,1,2001,rock,hard rock,0.406,0.954,-3.609,0.106,0.00746,1.1e-06,0.348,0.598,159.93,185120
Meant to Live,Switchfoot,54,2008-10-31,rock,hard rock,0.396,0.905,-3.948,0.0467,0.00415,0.0,0.42,0.514,151.503,199813
Miss Murder,AFI,70,2006-06-06,rock,hard rock,0.308,0.873,-4.542,0.0533,0.00022,0.000729,0.0974,0.686,143.519,206587
Nice to Know You,Incubus,58,2001-10-23,rock,hard rock,0.515,0.864,-5.384,0.0478,0.00182,7.32e-05,0.108,0.232,153.966,283160
By My Side,3 Doors Down,38,2000,rock,hard rock,0.46,0.949,-4.701,0.0781,0.00224,0.0935,0.211,0.5,142.98,196400
Loser,3 Doors Down,56,2000,rock,hard rock,0.499,0.88,-6.424,0.0654,0.0108,2.76e-05,0.226,0.39,147.899,264800
Rope,Foo Fighters,60,2011-04-12,rock,hard rock,0.511,0.728,-4.874,0.037,2.52e-05,7.41e-05,0.0725,0.541,138.179,259027
Outside,Foo Fighters,54,2014-11-09,rock,hard rock,0.362,0.866,-6.319,0.0725,1.25e-05,0.312,0.0831,0.371,166.007,314573
Whatever,Godsmack,56,1998-01-01,rock,hard rock,0.545,0.882,-4.864,0.119,0.000169,0.0368,0.332,0.595,122.259,206200
Bad Religion,Godsmack,51,1998-01-01,rock,hard rock,0.463,0.842,-5.657,0.114,0.00185,3.66e-05,0.107,0.668,154.351,193267
Alive - 2006 Remaster,P.O.D.,57,2006-10-27,rock,hard rock,0.409,0.952,-3.761,0.0756,1.23e-05,0.000156,0.31,0.55,80.899,203693
Prayer Of The Refugee,Rise Against,65,2006-01-01,rock,hard rock,0.2,0.977,-3.494,0.159,0.00165,1.1e-05,0.259,0.39,195.711,199387
Sinner,Drowning Pool,53,2001-01-01,rock,hard rock,0.576,0.96,-2.605,0.0759,0.000436,3.23e-05,0.0659,0.532,120.95,147333
Slither,Velvet Revolver,63,2004,rock,hard rock,0.478,0.974,-3.866,0.102,0.000266,0.0984,0.0738,0.268,141.077,248307
Paper Airplanes (Makeshift Wings),AFI,39,2003,rock,hard rock,0.434,0.924,-3.379,0.0411,0.0064,0.0,0.342,0.497,101.862,237373
Lifelong Dayshift,Middle Class Rut,2,2010-10-04,rock,hard rock,0.424,0.979,-2.843,0.0805,0.00158,7.45e-06,0.281,0.28,165.921,267907
Heartbreaker,Her Bright Skies,33,2010-03-24,rock,hard rock,0.408,0.955,-3.003,0.196,0.000792,0.0,0.133,0.474,170.024,203720
Control,Puddle Of Mudd,2,2001-01-01,rock,hard rock,0.433,0.914,-3.4,0.0985,0.00301,0.0,0.296,0.635,163.759,230093
