joueur,equipe,age,matchs,minutes_par_match,points,rebonds,passes,interceptions,contres,pertes_balle,pct_tir,pct_3pts,pct_lf,plus_minus,double_doubles,pct_victoires
Santi Aldama,MEM,22.0,77,21.8,9.0,4.8,1.3,0.6,0.6,0.8,0.47,0.353,0.75,1.2,4,0.61
Scottie Barnes,TOR,21.0,77,34.8,15.3,6.6,4.8,1.1,0.8,2.0,0.456,0.281,0.772,2.3,15,0.494
Serge Ibaka,MIL,33.0,16,11.6,4.1,2.8,0.3,0.1,0.4,0.7,0.481,0.333,0.615,-1.6,0,0.688
Seth Curry,BKN,32.0,61,19.8,9.2,1.6,1.6,0.6,0.1,0.8,0.463,0.405,0.927,-1.1,0,0.607
Shaedon Sharpe,POR,20.0,80,22.2,9.9,3.0,1.2,0.5,0.3,1.0,0.472,0.36,0.714,-3.7,0,0.4
Shai Gilgeous-Alexander,OKC,24.0,68,35.5,31.4,4.8,5.5,1.6,1.0,2.8,0.51,0.345,0.905,2.2,3,0.485
Shake Milton,PHI,26.0,76,20.6,8.4,2.5,3.2,0.3,0.2,1.2,0.479,0.378,0.853,1.9,3,0.684
Simone Fontecchio,UTA,27.0,52,14.7,6.3,1.7,0.8,0.3,0.2,0.8,0.369,0.33,0.795,-3.9,0,0.481
Spencer Dinwiddie,BKN,30.0,79,34.5,17.3,3.4,6.5,0.8,0.3,1.8,0.438,0.369,0.812,-0.1,9,0.519
Stanley Johnson,SAS,27.0,30,15.6,5.8,3.2,2.2,0.5,0.2,1.1,0.533,0.45,0.667,-3.1,0,0.167
Stephen Curry,GSW,35.0,56,34.7,29.4,6.1,6.3,0.9,0.4,3.2,0.493,0.427,0.915,4.8,12,0.536
Steven Adams,MEM,29.0,42,27.0,8.6,11.5,2.3,0.9,1.1,1.9,0.597,0.0,0.364,5.8,15,0.667
Svi Mykhailiuk,CHA,25.0,32,14.6,6.9,1.7,1.7,0.5,0.1,0.8,0.445,0.424,0.667,0.6,0,0.5
T.J. McConnell,IND,31.0,75,20.4,8.7,3.1,5.3,1.1,0.1,1.9,0.543,0.441,0.853,-0.8,6,0.413
T.J. Warren,PHX,29.0,42,16.4,7.5,2.9,1.0,0.5,0.3,0.5,0.489,0.328,0.8,1.3,0,0.619
Taj Gibson,WAS,37.0,49,9.8,3.4,1.9,0.7,0.3,0.2,0.5,0.52,0.333,0.714,-0.1,0,0.429
Talen Horton-Tucker,UTA,22.0,65,20.2,10.7,3.2,3.8,0.6,0.4,1.9,0.419,0.286,0.75,-0.1,2,0.462
Tari Eason,HOU,22.0,82,21.6,9.3,6.0,1.1,1.2,0.6,1.2,0.448,0.343,0.752,-1.9,7,0.268
Taurean Prince,MIN,29.0,54,22.1,9.1,2.4,1.6,0.5,0.3,1.3,0.467,0.381,0.844,0.0,0,0.574
Terance Mann,LAC,26.0,81,23.1,8.8,3.4,2.3,0.5,0.3,1.0,0.519,0.389,0.78,0.0,1,0.543
Terence Davis,SAC,26.0,64,13.1,6.7,2.2,1.0,0.7,0.2,0.8,0.423,0.366,0.791,0.7,0,0.594
Terrence Ross,PHX,32.0,63,21.1,8.3,2.4,1.5,0.6,0.2,0.7,0.43,0.368,0.794,-1.2,0,0.429
Terry Rozier,CHA,29.0,63,35.3,21.1,4.1,5.1,1.2,0.3,2.1,0.415,0.327,0.809,-4.6,1,0.302
Terry Taylor,CHI,23.0,31,8.5,2.9,1.5,0.3,0.1,0.2,0.3,0.52,0.263,0.545,0.6,0,0.419
Thaddeus Young,TOR,34.0,54,14.7,4.4,3.1,1.4,1.0,0.1,0.8,0.545,0.176,0.692,-1.7,0,0.426
Thanasis Antetokounmpo,MIL,30.0,37,5.6,1.4,1.2,0.4,0.1,0.1,0.3,0.435,0.0,0.5,-3.1,0,0.676
Theo Maledon,CHA,21.0,44,19.4,6.7,2.8,3.5,0.8,0.3,1.3,0.402,0.295,0.851,-3.3,1,0.318
Theo Pinson,DAL,27.0,40,8.1,2.4,1.6,1.2,0.2,0.0,0.3,0.356,0.355,0.846,-1.3,1,0.475
Thomas Bryant,DEN,25.0,59,18.3,9.8,5.7,0.5,0.3,0.5,0.6,0.623,0.441,0.738,-1.6,9,0.559
Tim Hardaway Jr.,DAL,31.0,71,30.3,14.4,3.5,1.8,0.7,0.2,0.8,0.401,0.385,0.77,2.3,0,0.521
Tobias Harris,PHI,30.0,74,32.9,14.7,5.7,2.5,0.9,0.5,1.2,0.501,0.389,0.876,4.0,7,0.635
Tony Bradley,CHI,25.0,12,2.8,1.6,0.9,0.1,0.1,0.1,0.1,0.5,0.6,1.0,0.9,0,0.417
Torrey Craig,PHX,32.0,79,24.7,7.4,5.4,1.5,0.6,0.8,0.9,0.456,0.395,0.711,-2.2,4,0.557
Trae Young,ATL,24.0,73,34.8,26.2,3.0,10.2,1.1,0.1,4.1,0.429,0.335,0.886,1.4,40,0.521
Tre Jones,SAS,23.0,68,29.2,12.9,3.6,6.6,1.3,0.1,1.6,0.459,0.285,0.86,-4.8,6,0.294
Tre Mann,OKC,22.0,67,17.7,7.7,2.3,1.8,0.6,0.2,0.9,0.393,0.315,0.764,0.9,1,0.463
Trendon Watford,POR,22.0,62,19.1,7.4,3.8,2.1,0.5,0.2,1.1,0.56,0.391,0.72,-2.9,3,0.419
Trent Forrest,ATL,24.0,23,12.0,2.3,1.6,1.7,0.3,0.1,0.7,0.417,0.0,0.667,-2.5,0,0.391
Trey Lyles,SAC,27.0,74,16.9,7.6,4.1,0.9,0.4,0.4,0.9,0.458,0.363,0.815,1.4,1,0.581
Trey Murphy III,NOP,22.0,79,31.0,14.5,3.6,1.4,1.1,0.5,0.8,0.484,0.406,0.905,0.5,1,0.494
Troy Brown Jr.,LAL,23.0,76,24.5,7.1,4.1,1.3,0.8,0.2,0.6,0.43,0.381,0.872,-0.2,2,0.526
Ty Jerome,GSW,25.0,45,18.1,6.9,1.7,3.0,0.5,0.1,0.7,0.488,0.389,0.927,-2.0,0,0.489
TyTy Washington Jr.,HOU,21.0,31,14.0,4.7,1.5,1.5,0.5,0.1,0.5,0.363,0.238,0.556,-1.5,0,0.194
Tyler Herro,MIA,23.0,67,34.9,20.1,5.4,4.2,0.8,0.2,2.4,0.439,0.378,0.934,2.5,6,0.552
Tyrese Haliburton,IND,23.0,56,33.6,20.7,3.7,10.4,1.6,0.4,2.5,0.49,0.4,0.871,-0.6,32,0.5
Tyrese Martin,ATL,24.0,16,4.1,1.3,0.8,0.1,0.1,0.0,0.1,0.391,0.143,1.0,0.1,0,0.625
Tyrese Maxey,PHI,22.0,60,33.6,20.3,2.9,3.5,0.8,0.1,1.3,0.481,0.434,0.845,4.0,0,0.65
Tyus Jones,MEM,27.0,80,24.2,10.3,2.5,5.2,1.0,0.1,0.9,0.438,0.371,0.806,1.2,9,0.638
Udoka Azubuike,UTA,23.0,36,10.0,3.5,3.3,0.3,0.2,0.4,0.5,0.819,0.0,0.35,-2.3,0,0.472
Usman Garuba,HOU,21.0,75,12.9,3.0,4.1,0.9,0.6,0.4,0.6,0.486,0.407,0.617,-3.4,0,0.28
Vernon Carey Jr.,UTA,22.0,11,2.6,0.5,1.0,0.3,0.2,0.2,0.2,0.25,0.0,1.0,-0.9,0,0.727
Victor Oladipo,MIA,31.0,42,26.3,10.7,3.0,3.5,1.4,0.3,2.1,0.397,0.33,0.747,-0.8,0,0.548
Vince Williams Jr.,MEM,22.0,15,7.0,2.0,1.0,0.3,0.4,0.1,0.3,0.3,0.143,1.0,-2.3,0,0.467
Vit Krejci,ATL,22.0,29,5.7,1.2,0.9,0.6,0.2,0.0,0.2,0.405,0.238,0.5,-0.1,0,0.517
Vlatko Cancar,DEN,26.0,60,14.8,5.0,2.1,1.3,0.4,0.2,0.6,0.476,0.374,0.927,-1.1,1,0.633
Walker Kessler,UTA,21.0,74,23.0,9.2,8.4,0.9,0.4,2.3,0.8,0.72,0.333,0.516,1.0,20,0.459
Wendell Carter Jr.,ORL,24.0,57,29.6,15.2,8.7,2.3,0.5,0.6,1.9,0.525,0.356,0.738,-0.7,21,0.456
Wendell Moore Jr.,MIN,21.0,29,5.3,1.4,0.6,0.6,0.3,0.2,0.3,0.419,0.118,0.8,-1.8,0,0.552
Wenyen Gabriel,LAL,26.0,68,15.1,5.5,4.2,0.5,0.4,0.5,0.7,0.596,0.278,0.619,-0.5,0,0.544
Wesley Matthews,MIL,36.0,52,15.8,3.4,2.2,0.7,0.4,0.3,0.3,0.363,0.315,0.857,1.0,0,0.712
Will Barton,TOR,32.0,56,17.7,6.8,2.4,2.0,0.5,0.2,0.9,0.379,0.367,0.787,-3.0,0,0.482
Willy Hernangomez,NOP,29.0,38,12.0,6.9,4.7,0.9,0.4,0.3,1.0,0.527,0.273,0.779,0.5,2,0.605
Xavier Cooks,WAS,27.0,10,12.6,3.8,3.8,0.6,0.6,0.4,0.8,0.607,0.0,0.4,1.9,1,0.2
Xavier Tillman,MEM,24.0,61,19.3,7.0,5.0,1.6,1.0,0.5,0.7,0.614,0.267,0.551,0.0,4,0.656
Yuta Watanabe,BKN,28.0,58,16.0,5.6,2.4,0.8,0.4,0.3,0.4,0.491,0.444,0.723,-0.1,0,0.517
Zach Collins,SAS,25.0,63,22.9,11.6,6.4,2.9,0.6,0.8,2.0,0.518,0.374,0.761,-3.8,9,0.317
Zach LaVine,CHI,28.0,77,35.9,24.8,4.5,4.2,0.9,0.2,2.5,0.485,0.375,0.848,0.2,2,0.494
Zeke Nnaji,DEN,22.0,53,13.7,5.2,2.6,0.3,0.3,0.4,0.6,0.561,0.262,0.645,-1.8,1,0.642
Ziaire Williams,MEM,21.0,37,15.2,5.7,2.1,0.9,0.4,0.2,1.0,0.429,0.258,0.773,-2.1,0,0.568
Zion Williamson,NOP,22.0,29,33.0,26.0,7.0,4.6,1.1,0.6,3.4,0.608,0.368,0.714,5.1,5,0.586
